From	Cluster ID	Cluster Name	Size	Identity	Common taxon	Common taxon ID
A2RRP1	UniRef100_A2RRP1	Cluster: NBAS subunit of NRZ tethering complex	2	1.0	Homo sapiens	9606
A2RU30	UniRef100_A2RU30	Cluster: Protein TESPA1	6	1.0	Homo sapiens	9606
A2RUS2	UniRef100_A2RUS2	Cluster: DENN domain-containing protein 3	5	1.0	Homo sapiens	9606
A3KN83	UniRef100_A3KN83	Cluster: Protein strawberry notch homolog 1	1	1.0	Homo sapiens	9606
A4D0V7	UniRef100_A4D0V7	Cluster: Cadherin-like and PC-esterase domain-containing protein 1	5	1.0	Homo sapiens	9606
A4D1V7	UniRef100_A4D1V7	Cluster: Hypothetical gene supported by AK127273	1	1.0	Homo sapiens	9606
A4FU69	UniRef100_A4FU69	Cluster: EF-hand calcium-binding domain-containing protein 5	3	1.0	Homo sapiens	9606
A5D8V6	UniRef100_A5D8V6	Cluster: Vacuolar protein sorting-associated protein 37C	2	1.0	Homo sapiens	9606
A5D8Y4	UniRef100_A5D8Y4	Cluster: Transmembrane channel-like protein	1	1.0	Homo sapiens	9606
A5PLL7	UniRef100_A5PLL7	Cluster: Plasmanylethanolamine desaturase 1	1	1.0	Homo sapiens	9606
A5PLN9	UniRef100_A5PLN9	Cluster: Trafficking protein particle complex subunit 13	4	1.0	Homininae	207598
A5YKK6	UniRef100_A5YKK6	Cluster: CCR4-NOT transcription complex subunit 1	5	1.0	Homininae	207598
A5YP36	UniRef100_A5YP36	Cluster: Exocyst complex component	1	1.0	Homo sapiens	9606
A6H8Y1	UniRef100_A6H8Y1	Cluster: Transcription factor TFIIIB component B'' homolog	1	1.0	Homo sapiens	9606
A6NC98	UniRef100_A6NC98	Cluster: Coiled-coil domain-containing protein 88B	2	1.0	Homininae	207598
A6ND22	UniRef100_A6ND22	Cluster: Mitochondrial ribosomal protein S16	4	1.0	Hominoidea	314295
A6NEC2	UniRef100_A6NEC2	Cluster: Puromycin-sensitive aminopeptidase-like protein	2	1.0	Homo sapiens	9606
A6NEK1	UniRef100_A6NEK1	Cluster: Arrestin domain-containing protein 5	2	1.0	Homo sapiens	9606
A6NH11	UniRef100_A6NH11	Cluster: Glycolipid transfer protein domain-containing protein 2	1	1.0	Homo sapiens	9606
A6NHN6	UniRef100_A6NHN6	Cluster: Nuclear pore complex-interacting protein family member B15	1	1.0	Homo sapiens	9606
A6NHR9	UniRef100_A6NHR9	Cluster: Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1	1.0	Homo sapiens	9606
A6NI56	UniRef100_A6NI56	Cluster: Coiled-coil domain-containing protein 154	2	1.0	Homo sapiens	9606
A6NJA2	UniRef100_A6NJA2	Cluster: Ubiquitin carboxyl-terminal hydrolase	4	1.0	Catarrhini	9526
A6NJG2	UniRef100_A6NJG2	Cluster: Ankyrin repeat domain-containing protein SOWAHD	1	1.0	Homo sapiens	9606
A6NK53	UniRef100_A6NK53	Cluster: Zinc finger protein 233	2	1.0	Homo sapiens	9606
A6NM11	UniRef100_A6NM11	Cluster: Leucine-rich repeat-containing protein 37A2	4	1.0	Homo sapiens	9606
A6NMS7	UniRef100_A6NMS7	Cluster: Leucine-rich repeat-containing protein 37A	6	1.0	Bilateria	33213
A6PVS8	UniRef100_A6PVS8	Cluster: Leucine-rich repeat and IQ domain-containing protein 3	2	1.0	Homo sapiens	9606
A7E1X5	UniRef100_A7E1X5	Cluster: Taste receptor type 2 (Fragment)	2	1.0	Homo sapiens	9606
A7E2V4	UniRef100_A7E2V4	Cluster: Zinc finger SWIM domain-containing protein 8	1	1.0	Homo sapiens	9606
A7E2V7	UniRef100_A7E2V7	Cluster: TUBGCP6 protein	1	1.0	Homo sapiens	9606
A7KAX9	UniRef100_A7KAX9	Cluster: Rho GTPase-activating protein 32	3	1.0	Homo sapiens	9606
A7MCY6	UniRef100_A7MCY6	Cluster: TANK-binding kinase 1-binding protein 1	3	1.0	Homo sapiens	9606
A8K0D8	UniRef100_A8K0D8	Cluster: cDNA FLJ75412, highly similar to Homo sapiens G protein-coupled receptor 116 (GPR116), mRNA	1	1.0	Homo sapiens	9606
A8K2F4	UniRef100_A8K2F4	Cluster: cDNA FLJ75620	1	1.0	Homo sapiens	9606
A8K3J5	UniRef100_A8K3J5	Cluster: Protein misato homolog 1	1	1.0	Homo sapiens	9606
A8K451	UniRef100_A8K451	Cluster: Hyaluronidase	1	1.0	Homo sapiens	9606
A8K4F0	UniRef100_A8K4F0	Cluster: cDNA FLJ75123, highly similar to Homo sapiens G protein-coupled receptor HM74a (HM74a), mRNA	1	1.0	Homo sapiens	9606
A8K6U0	UniRef100_A8K6U0	Cluster: cDNA FLJ77572, highly similar to Homo sapiens intracellular membrane-associated calcium-independent phospholipase A2 gamma (IPLA2(GAMMA)), mRNA	1	1.0	Homo sapiens	9606
A8K7A4	UniRef100_A8K7A4	Cluster: Methionine adenosyltransferase 2 subunit beta	1	1.0	Homo sapiens	9606
A8K7T4	UniRef100_A8K7T4	Cluster: cDNA FLJ75774, highly similar to Homo sapiens lectin, mannose-binding 2 (LMAN2), mRNA	1	1.0	Homo sapiens	9606
A8K7X3	UniRef100_A8K7X3	Cluster: cDNA FLJ75782, highly similar to Homo sapiens purinergic receptor P2Y, G-protein coupled, 10 (P2RY10), transcript variant 1, mRNA	1	1.0	Homo sapiens	9606
A8K8P3	UniRef100_A8K8P3	Cluster: Protein SFI1 homolog	1	1.0	Homo sapiens	9606
A8K979	UniRef100_A8K979	Cluster: ERI1 exoribonuclease 2	2	1.0	Homo sapiens	9606
A8K9Y5	UniRef100_A8K9Y5	Cluster: DNA helicase (Fragment)	1	1.0	Homo sapiens	9606
A8KAD5	UniRef100_A8KAD5	Cluster: Oxysterol-binding protein	1	1.0	Homo sapiens	9606
A8MPX8	UniRef100_A8MPX8	Cluster: Protein phosphatase 2C-like domain-containing protein 1	1	1.0	Homo sapiens	9606
A8MQB8	UniRef100_A8MQB8	Cluster: Fragile X messenger ribonucleoprotein 1	1	1.0	Homo sapiens	9606
A8MW92	UniRef100_A8MW92	Cluster: PHD finger protein 20-like protein 1	1	1.0	Homo sapiens	9606
A9UHW6	UniRef100_A9UHW6	Cluster: MIF4G domain-containing protein	18	1.0	Primates	9443
B0I1T2	UniRef100_B0I1T2	Cluster: Unconventional myosin-Ig	3	1.0	Homo sapiens	9606
B0QYD3	UniRef100_B0QYD3	Cluster: Apolipoprotein B mRNA editing enzyme catalytic subunit 3B	1	1.0	Homo sapiens	9606
B0QYN7	UniRef100_B0QYN7	Cluster: Ubiquitin conjugating enzyme E2 I	1	1.0	Homo sapiens	9606
B0YJC5	UniRef100_B0YJC5	Cluster: Vimentin	4	1.0	Hominoidea	314295
Q96I65	UniRef100_B2RU06	Cluster: eIF4G1 protein	10	1.0	Hominidae	9604
B3GQS7	UniRef100_B3GQS7	Cluster: 60 kDa heat shock protein, mitochondrial	1	1.0	Homo sapiens	9606
B4DIT7	UniRef100_B4DIT7	Cluster: cDNA FLJ58187, highly similar to Protein-glutamine gamma-glutamyltransferase 2	1	1.0	Homo sapiens	9606
B4DLC0	UniRef100_B4DLC0	Cluster: cDNA FLJ58476, highly similar to Poly(rC)-binding protein 2	1	1.0	Homo sapiens	9606
B4DLN1	UniRef100_B4DLN1	Cluster: cDNA FLJ60124, highly similar to Mitochondrial dicarboxylate carrier	3	1.0	Homo sapiens	9606
B4DLR8	UniRef100_B4DLR8	Cluster: NAD(P)H quinone dehydrogenase 1	5	1.0	Homininae	207598
B4DPJ8	UniRef100_B4DPJ8	Cluster: cDNA FLJ52344, highly similar to T-complex protein 1 subunit zeta	1	1.0	Homo sapiens	9606
B4DQA8	UniRef100_B4DQA8	Cluster: Golgi SNAP receptor complex member 1	1	1.0	Homo sapiens	9606
B4DUC8	UniRef100_B4DUC8	Cluster: S-methyl-5'-thioadenosine phosphorylase	1	1.0	Homo sapiens	9606
O43203	UniRef100_B4DVF4	Cluster: Acetyl-CoA acyltransferase 1	5	1.0	Hominidae	9604
B4DZG7	UniRef100_B4DZG7	Cluster: ADP ribosylation factor like GTPase 1	13	1.0	Catarrhini	9526
B4E2M5	UniRef100_B4E2M5	Cluster: Ankyrin repeat domain-containing protein 66	1	1.0	Homo sapiens	9606
B4E3T4	UniRef100_B4E3T4	Cluster: HCG2043421, isoform CRA_c	2	1.0	Homo sapiens	9606
B5BUJ7	UniRef100_B5BUJ7	Cluster: Stress-activated protein kinase JNK (Fragment)	1	1.0	Homo sapiens	9606
P0CG08	UniRef100_B7ZAQ6	Cluster: Golgi pH regulator A	9	1.0	Homininae	207598
B7ZM21	UniRef100_B7ZM21	Cluster: ZFP2 protein	1	1.0	Homo sapiens	9606
B7ZM74	UniRef100_B7ZM74	Cluster: LOC441476 protein	1	1.0	Homo sapiens	9606
B7ZMM1	UniRef100_B7ZMM1	Cluster: CLEC4F protein	1	1.0	Homo sapiens	9606
C9J384	UniRef100_C9J384	Cluster: Cms1 ribosomal small subunit homolog (Fragment)	1	1.0	Homo sapiens	9606
C9J3L8	UniRef100_C9J3L8	Cluster: Translocon-associated protein subunit alpha	1	1.0	Homo sapiens	9606
C9JAW5	UniRef100_C9JAW5	Cluster: HIG1 domain-containing protein	1	1.0	Homo sapiens	9606
C9JUH5	UniRef100_C9JUH5	Cluster: Stress-associated endoplasmic reticulum protein	2	1.0	Homininae	207598
C9JYJ0	UniRef100_C9JYJ0	Cluster: RAD51 paralog B	1	1.0	Homo sapiens	9606
D3DTH7	UniRef100_D3DTH7	Cluster: Myosin IC, isoform CRA_a	1	1.0	Homo sapiens	9606
D6REE5	UniRef100_D6REE5	Cluster: Receptor for activated C kinase 1 (Fragment)	1	1.0	Homo sapiens	9606
D6RFH4	UniRef100_D6RFH4	Cluster: Cytochrome b5 type B	1	1.0	Homo sapiens	9606
D6RJ07	UniRef100_D6RJ07	Cluster: Zinc finger protein 346	1	1.0	Homo sapiens	9606
D7RIG0	UniRef100_D7RIG0	Cluster: HLA class II histocompatibility antigen DR beta chain	89	1.0	Homo sapiens	9606
E5RHT6	UniRef100_E5RHT6	Cluster: ADP ribosylation factor GTPase activating protein 1 (Fragment)	1	1.0	Homo sapiens	9606
E7ETS9	UniRef100_E7ETS9	Cluster: Beta-1,4-galactosyltransferase 4	3	1.0	Catarrhini	9526
E7ETU5	UniRef100_E7ETU5	Cluster: RNA binding motif single stranded interacting protein 1	5	1.0	Hominoidea	314295
E7EU96	UniRef100_E7EU96	Cluster: Casein kinase 2 alpha 1	1	1.0	Homo sapiens	9606
E9PC52	UniRef100_E9PC52	Cluster: RB binding protein 7, chromatin remodeling factor	2	1.0	Hominidae	9604
E9PDE8	UniRef100_E9PDE8	Cluster: Heat shock protein family A (Hsp70) member 4 like	1	1.0	Homo sapiens	9606
E9PF18	UniRef100_E9PF18	Cluster: Hydroxyacyl-CoA dehydrogenase	2	1.0	Homo sapiens	9606
E9PH18	UniRef100_E9PH18	Cluster: DnaJ heat shock protein family (Hsp40) member B6	1	1.0	Homo sapiens	9606
E9PH82	UniRef100_E9PH82	Cluster: Family with sequence similarity 98 member A	1	1.0	Homo sapiens	9606
E9PHA6	UniRef100_E9PHA6	Cluster: DNA mismatch repair protein	4	1.0	Homo sapiens	9606
E9PKG1	UniRef100_E9PKG1	Cluster: Protein arginine methyltransferase 1	50	1.0	cellular organisms	131567
E9PKV2	UniRef100_E9PKV2	Cluster: 39S ribosomal protein L17, mitochondrial (Fragment)	3	1.0	Homininae	207598
E9PLL6	UniRef100_E9PLL6	Cluster: Ribosomal protein L27a	3	1.0	Hominidae	9604
E9PMD8	UniRef100_E9PMD8	Cluster: Proteasome 26S subunit, ATPase 3 (Fragment)	2	1.0	Homininae	207598
E9PMI6	UniRef100_E9PMI6	Cluster: Methylosome subunit pICln	14	1.0	Simiiformes	314293
E9PPV6	UniRef100_E9PPV6	Cluster: Serpin family H member 1	2	1.0	Homininae	207598
E9PQ57	UniRef100_E9PQ57	Cluster: Ribonucleic acid export 1	7	1.0	Hominidae	9604
F2Z2B9	UniRef100_F2Z2B9	Cluster: Gamma-tubulin complex component	1	1.0	Homo sapiens	9606
F2Z2I2	UniRef100_F2Z2I2	Cluster: 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	4	1.0	Hominidae	9604
F5H0Y3	UniRef100_F5H0Y3	Cluster: Myeloid leukemia factor 2 (Fragment)	1	1.0	Homo sapiens	9606
F5H324	UniRef100_F5H324	Cluster: Arylsulfatase L	2	1.0	Homo sapiens	9606
F5H5U2	UniRef100_F5H5U2	Cluster: ATP-dependent RNA helicase	1	1.0	Homo sapiens	9606
F6RFD5	UniRef100_F6RFD5	Cluster: Destrin, actin depolymerizing factor	10	1.0	Simiiformes	314293
F7VJQ1	UniRef100_F7VJQ1	Cluster: Alternative prion protein	1	1.0	Homo sapiens	9606
F8VPD4	UniRef100_F8VPD4	Cluster: CAD protein	1	1.0	Homo sapiens	9606
F8VZX2	UniRef100_F8VZX2	Cluster: Poly(rC) binding protein 2	35	1.0	Theria	32525
F8W1R7	UniRef100_F8W1R7	Cluster: Myosin light chain 6	4	1.0	Catarrhini	9526
F8W776	UniRef100_F8W776	Cluster: SEC61 translocon subunit alpha 2	36	1.0	Boreoeutheria	1437010
F8W881	UniRef100_F8W881	Cluster: Family with sequence similarity 120C	1	1.0	Homo sapiens	9606
F8W9E7	UniRef100_F8W9E7	Cluster: Engulfment and cell motility 3	1	1.0	Homo sapiens	9606
F8WCD0	UniRef100_F8WCD0	Cluster: Ring finger protein 149	1	1.0	Homo sapiens	9606
G3V3B0	UniRef100_G3V3B0	Cluster: Apoptotic chromatin condensation inducer 1	7	1.0	Catarrhini	9526
G3V2A3	UniRef100_G3V3J6	Cluster: HCG1983504, isoform CRA_b	84	1.0	cellular organisms	131567
Q96I30	UniRef100_G5E9L6	Cluster: G protein-coupled receptor 108	8	1.0	Homininae	207598
G5E9W3	UniRef100_G5E9W3	Cluster: Cleavage and polyadenylation specific factor 3	2	1.0	Homo sapiens	9606
H0Y4B0	UniRef100_H0Y4B0	Cluster: ERI1 exoribonuclease family member 3 (Fragment)	2	1.0	Hominidae	9604
H0Y4R1	UniRef100_H0Y4R1	Cluster: Inosine-5'-monophosphate dehydrogenase	3	1.0	Homininae	207598
H0Y512	UniRef100_H0Y512	Cluster: Adipocyte plasma membrane-associated protein (Fragment)	1	1.0	Homo sapiens	9606
H0Y6T8	UniRef100_H0Y6T8	Cluster: RAB18, member RAS oncogene family (Fragment)	2	1.0	Hominidae	9604
H0YA96	UniRef100_H0YA96	Cluster: Heterogeneous nuclear ribonucleoprotein D (Fragment)	1	1.0	Homo sapiens	9606
H0YBB4	UniRef100_H0YBB4	Cluster: Ubiquitin protein ligase E3 component n-recognin 5 (Fragment)	1	1.0	Homo sapiens	9606
H0YJ40	UniRef100_H0YJ40	Cluster: SRA stem-loop interacting RNA binding protein (Fragment)	1	1.0	Homo sapiens	9606
H3BNU4	UniRef100_H3BNU4	Cluster: Ankyrin repeat domain containing 11	1	1.0	Homo sapiens	9606
H3BR27	UniRef100_H3BR27	Cluster: RNA binding motif protein X-linked	11	1.0	Simiiformes	314293
H3BS86	UniRef100_H3BS86	Cluster: STIP1 homology and U-box containing protein 1 (Fragment)	4	1.0	Catarrhini	9526
H3BSJ9	UniRef100_H3BSJ9	Cluster: Ubiquinol-cytochrome c reductase core protein 2	1	1.0	Homo sapiens	9606
H7BYD0	UniRef100_H7BYD0	Cluster: NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	1	1.0	Homo sapiens	9606
H7BYF7	UniRef100_H7BYF7	Cluster: KDEL endoplasmic reticulum protein retention receptor 2	2	1.0	Homininae	207598
H7C3P6	UniRef100_H7C3P6	Cluster: Nucleoporin 98 and 96 precursor (Fragment)	1	1.0	Homo sapiens	9606
H7C5E2	UniRef100_H7C5E2	Cluster: B-cell receptor-associated protein (Fragment)	2	1.0	Homo sapiens	9606
I3L0L0	UniRef100_I3L0L0	Cluster: RUNX family transcription factor 2	1	1.0	Homo sapiens	9606
I3L318	UniRef100_I3L318	Cluster: Clustered mitochondria homolog (Fragment)	6	1.0	Homo sapiens	9606
I3L4A1	UniRef100_I3L4A1	Cluster: Charged multivesicular body protein 6 (Fragment)	2	1.0	Homo sapiens	9606
J3KT10	UniRef100_J3KT10	Cluster: Nuclear pore complex protein Nup85	1	1.0	Homo sapiens	9606
J3KTA4	UniRef100_J3KTA4	Cluster: Probable ATP-dependent RNA helicase DDX5	4	1.0	Homininae	207598
V9GY61	UniRef100_K7EJW7	Cluster: RAB34, member RAS oncogene family (Fragment)	8	1.0	cellular organisms	131567
K7EQ03	UniRef100_K7EQ03	Cluster: RNA-binding protein 42	4	1.0	Homininae	207598
K7ES69	UniRef100_K7ES69	Cluster: Calponin 2	2	1.0	Homininae	207598
M0QZM1	UniRef100_M0QZM1	Cluster: Heterogeneous nuclear ribonucleoprotein M (Fragment)	1	1.0	Homo sapiens	9606
O00116	UniRef100_O00116	Cluster: Alkyldihydroxyacetonephosphate synthase, peroxisomal	1	1.0	Homo sapiens	9606
O00144	UniRef100_O00144	Cluster: Frizzled-9	5	1.0	Catarrhini	9526
O00148	UniRef100_O00148	Cluster: ATP-dependent RNA helicase DDX39A	20	1.0	Catarrhini	9526
O00151	UniRef100_O00151	Cluster: PDZ and LIM domain protein 1	4	1.0	Homininae	207598
O00154	UniRef100_O00154	Cluster: Cytosolic acyl coenzyme A thioester hydrolase	3	1.0	Homo sapiens	9606
O00159	UniRef100_O00159	Cluster: Unconventional myosin-Ic	3	1.0	Homo sapiens	9606
O00160	UniRef100_O00160	Cluster: Unconventional myosin-If	1	1.0	Homo sapiens	9606
O00161	UniRef100_O00161	Cluster: Synaptosomal-associated protein 23	11	1.0	Homininae	207598
O00165	UniRef100_O00165	Cluster: HCLS1-associated protein X-1	5	1.0	Homininae	207598
O00182	UniRef100_O00182	Cluster: Galectin-9	7	1.0	Homo sapiens	9606
O00186	UniRef100_O00186	Cluster: Syntaxin-binding protein 3	1	1.0	Homo sapiens	9606
O00193	UniRef100_O00193	Cluster: Small acidic protein	9	1.0	Simiiformes	314293
O00194	UniRef100_O00194	Cluster: Ras-related protein Rab-27B	2	1.0	Homininae	207598
O00203	UniRef100_O00203	Cluster: AP-3 complex subunit beta-1	4	1.0	Homo sapiens	9606
O00206	UniRef100_O00206	Cluster: Toll-like receptor 4	17	1.0	cellular organisms	131567
O00213	UniRef100_O00213	Cluster: Amyloid beta precursor protein binding family B member 1	1	1.0	Homo sapiens	9606
O00214	UniRef100_O00214	Cluster: Galectin-8	1	1.0	Homo sapiens	9606
O00231	UniRef100_O00231	Cluster: 26S proteasome non-ATPase regulatory subunit 11	94	1.0	Eutheria	9347
O00232	UniRef100_O00232	Cluster: 26S proteasome non-ATPase regulatory subunit 12	20	1.0	Catarrhini	9526
O00233	UniRef100_O00233	Cluster: 26S proteasome non-ATPase regulatory subunit 9	1	1.0	Homo sapiens	9606
O00237	UniRef100_O00237	Cluster: E3 ubiquitin-protein ligase RNF103	1	1.0	Homo sapiens	9606
O00264	UniRef100_O00264	Cluster: Membrane-associated progesterone receptor component 1	5	1.0	Homininae	207598
O00267	UniRef100_O00267	Cluster: Transcription elongation factor SPT5	3	1.0	Homo sapiens	9606
O00273	UniRef100_O00273	Cluster: DNA fragmentation factor subunit alpha	2	1.0	Homo sapiens	9606
O00299	UniRef100_O00299	Cluster: Chloride intracellular channel protein 1	7	1.0	Homininae	207598
O00303	UniRef100_O00303	Cluster: Eukaryotic translation initiation factor 3 subunit F	2	1.0	Homo sapiens	9606
O00308	UniRef100_O00308	Cluster: NEDD4-like E3 ubiquitin-protein ligase WWP2	4	1.0	Homo sapiens	9606
O00322	UniRef100_O00322	Cluster: Uroplakin-1a	1	1.0	Homo sapiens	9606
O00330	UniRef100_O00330	Cluster: Pyruvate dehydrogenase protein X component, mitochondrial	4	1.0	Homininae	207598
O00339	UniRef100_O00339	Cluster: Matrilin-2	5	1.0	Homininae	207598
O00399	UniRef100_O00399	Cluster: Dynactin subunit 6	16	1.0	Boreoeutheria	1437010
O00400	UniRef100_O00400	Cluster: Acetyl-coenzyme A transporter 1	1	1.0	Homo sapiens	9606
O00401	UniRef100_O00401	Cluster: Actin nucleation-promoting factor WASL	5	1.0	Homininae	207598
O00408	UniRef100_O00408	Cluster: cGMP-dependent 3',5'-cyclic phosphodiesterase	5	1.0	Homininae	207598
O00410	UniRef100_O00410	Cluster: Importin-5	29	1.0	Boreoeutheria	1437010
O00422	UniRef100_O00422	Cluster: Histone deacetylase complex subunit SAP18	27	1.0	Simiiformes	314293
O00425	UniRef100_O00425	Cluster: Insulin-like growth factor 2 mRNA-binding protein 3	6	1.0	Hominidae	9604
O00429	UniRef100_O00429	Cluster: Dynamin-1-like protein	13	1.0	Simiiformes	314293
O00443	UniRef100_O00443	Cluster: Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	6	1.0	Homininae	207598
O00459	UniRef100_O00459	Cluster: Phosphatidylinositol 3-kinase regulatory subunit beta	2	1.0	Homo sapiens	9606
O00461	UniRef100_O00461	Cluster: Golgi integral membrane protein 4	1	1.0	Homo sapiens	9606
O00463	UniRef100_O00463	Cluster: TNF receptor-associated factor 5	5	1.0	Homo sapiens	9606
O00469	UniRef100_O00469	Cluster: Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	1	1.0	Homo sapiens	9606
O00470	UniRef100_O00470	Cluster: Homeobox protein Meis1	83	1.0	Theria	32525
O00472	UniRef100_O00472	Cluster: RNA polymerase II elongation factor ELL2	3	1.0	Homo sapiens	9606
O00478	UniRef100_O00478	Cluster: Butyrophilin subfamily 3 member A3	7	1.0	Homininae	207598
O00479	UniRef100_O00479	Cluster: High mobility group nucleosome-binding domain-containing protein 4	15	1.0	Catarrhini	9526
O00481	UniRef100_O00481	Cluster: Butyrophilin subfamily 3 member A1	6	1.0	Homo sapiens	9606
O00483	UniRef100_O00483	Cluster: Cytochrome c oxidase subunit NDUFA4	6	1.0	Homininae	207598
O00487	UniRef100_O00487	Cluster: 26S proteasome non-ATPase regulatory subunit 14	105	1.0	Eutheria	9347
O00499	UniRef100_O00499	Cluster: Myc box-dependent-interacting protein 1	2	1.0	Homo sapiens	9606
O00505	UniRef100_O00505	Cluster: Importin subunit alpha-4	11	1.0	Catarrhini	9526
O00507	UniRef100_O00507	Cluster: Probable ubiquitin carboxyl-terminal hydrolase FAF-Y	3	1.0	Homo sapiens	9606
O00519	UniRef100_O00519	Cluster: Fatty-acid amide hydrolase 1	1	1.0	Homo sapiens	9606
O00522	UniRef100_O00522	Cluster: Krev interaction trapped protein 1	3	1.0	Homo sapiens	9606
O00555	UniRef100_O00555	Cluster: Voltage-dependent P/Q-type calcium channel subunit alpha-1A	1	1.0	Homo sapiens	9606
O00560	UniRef100_O00560	Cluster: Syntenin-1	6	1.0	Homininae	207598
O00562	UniRef100_O00562	Cluster: Membrane-associated phosphatidylinositol transfer protein 1	3	1.0	Homo sapiens	9606
O00567	UniRef100_O00567	Cluster: Nucleolar protein 56	2	1.0	Homo sapiens	9606
O00571	UniRef100_O00571	Cluster: ATP-dependent RNA helicase DDX3X	20	1.0	Boreoeutheria	1437010
