From	Cluster ID	Cluster Name	Size	Identity	Common taxon	Common taxon ID
A0A2B6CAK8	UniRef50_A0A090ZEN7	Cluster: DeoR-like helix-turn-helix domain protein	239	0.5	Bacillaceae	186817
A0A5P8YHX9	UniRef50_A0A095PEH4	Cluster: Type VI secretion protein	474	0.5	Bacteria	2
Q5NGM8	UniRef50_A0A097EN12	Cluster: Poly-gamma-glutamate system protein	57	0.5	Francisellaceae	34064
Q5NFL4	UniRef50_A0A097EN66	Cluster: 5-formyltetrahydrofolate cyclo-ligase	52	0.5	Francisellaceae	34064
Q5NEN3	UniRef50_A0A097EP87	Cluster: ABC transporter	107	0.5	Gammaproteobacteria	1236
Q5NEB5	UniRef50_A0A097EPN6	Cluster: Protein-L-isoaspartate O-methyltransferase	49	0.5	Francisellaceae	34064
Q5NHY8	UniRef50_A0A097EQH6	Cluster: DNA mismatch repair protein MutT	46	0.5	Francisellaceae	34064
Q5NEV5	UniRef50_A0A097EQT4	Cluster: Tyrosine recombinase XerC	60	0.5	Francisellaceae	34064
Q5NES6	UniRef50_A0A097EQY7	Cluster: Curli production assembly/transport component CsgG	63	0.5	Pseudomonadota	1224
Q5NF27	UniRef50_A0A097ER39	Cluster: Oxidoreductase	24	0.5	Francisellaceae	34064
A0A6L8PZP2	UniRef50_A0A099I5U2	Cluster: Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase	830	0.5	Bacteria	2
Q8D065	UniRef50_A0A0A1FCR3	Cluster: ClpB protein	916	0.5	cellular organisms	131567
A0A6L8NXL2	UniRef50_A0A0A2TXH7	Cluster: D-aminoacyl-tRNA deacylase	1818	0.5	cellular organisms	131567
A0A6L7HB03	UniRef50_A0A0A3I317	Cluster: 2-succinylbenzoate--CoA ligase	424	0.5	Bacteria	2
A0A6L8PHK5	UniRef50_A0A0A3JSD1	Cluster: Transporter	334	0.5	Bacteria	2
Q5NEW4	UniRef50_A0A0A8E445	Cluster: DUF4124 domain-containing protein	23	0.5	Francisellaceae	34064
Q5NEX3	UniRef50_A0A0A8E543	Cluster: Acetyltransferase component of pyruvate dehydrogenase complex	80	0.5	Pseudomonadota	1224
Q5NF36	UniRef50_A0A0A8E951	Cluster: Aminotransferase	64	0.5	Gammaproteobacteria	1236
Q5NG89	UniRef50_A0A0A8EA33	Cluster: Phospho-2-dehydro-3-deoxyheptonate aldolase	91	0.5	root	1
Q5NHH0	UniRef50_A0A0A8EB30	Cluster: DUF2147 domain-containing protein	44	0.5	Francisellaceae	34064
Q5NFQ5	UniRef50_A0A0A8GVQ6	Cluster: site-specific DNA-methyltransferase (adenine-specific)	836	0.5	Bacteria	2
Q8CKN6	UniRef50_A0A0A8VEA4	Cluster: Autotransporter protein	174	0.5	Gammaproteobacteria	1236
A0A6L7HH25	UniRef50_A0A0B0HWF1	Cluster: D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH	1727	0.5	Bacteria	2
Q9Z3B4	UniRef50_A0A0B1K1V6	Cluster: DUF4102 domain-containing protein	2261	0.5	root	1
Q9R3G9	UniRef50_A0A0B1R9G1	Cluster: Replication initiation protein	68	0.5	Bacteria	2
Q5NFY6	UniRef50_A0A0B3VD14	Cluster: Uncharacterized protein	11	0.5	Francisella tularensis	263
Q5NG97	UniRef50_A0A0B3VDF2	Cluster: Glutathione-disulfide reductase	78	0.5	cellular organisms	131567
Q5NHX3	UniRef50_A0A0B3VDM8	Cluster: CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	79	0.5	Gammaproteobacteria	1236
Q5NGF9	UniRef50_A0A0B3VDQ2	Cluster: DNA repair protein RecN	67	0.5	Francisellaceae	34064
Q5NEA2	UniRef50_A0A0B3VN77	Cluster: Signal peptide peptidase SppA	65	0.5	Pseudomonadota	1224
Q5NFP5	UniRef50_A0A0B3VNM4	Cluster: Polyketide cyclase / dehydrase and lipid transport family protein	36	0.5	Francisellaceae	34064
Q5NIL8	UniRef50_A0A0B3VQQ7	Cluster: Transcription termination/antitermination protein NusA	48	0.5	cellular organisms	131567
Q5NG24	UniRef50_A0A0B3WH85	Cluster: RNA polymerase sigma factor RpoD	49	0.5	Francisellaceae	34064
Q5NGP3	UniRef50_A0A0B3WHU4	Cluster: Glycosyl transferases group 1 family protein	46	0.5	Francisellaceae	34064
Q5NHR7	UniRef50_A0A0B3WHZ6	Cluster: Glutamate dehydrogenase	473	0.5	root	1
A0A0F7RA65	UniRef50_A0A0B5ATY2	Cluster: DNA-packaging protein	74	0.5	root	1
A0A0F7REU6	UniRef50_A0A0B5S4E3	Cluster: AI-2E family transporter	475	0.5	Bacillaceae	186817
A0A6L8PAB3	UniRef50_A0A0B5S6K7	Cluster: Arginine decarboxylase	133	0.5	Bacillaceae	186817
A0A1V4BJ25	UniRef50_A0A0B5SBY7	Cluster: Stage VI sporulation protein D	659	0.5	Bacteria	2
Q5NFD5	UniRef50_A0A0B6CQ56	Cluster: Uncharacterized protein	59	0.5	Francisellaceae	34064
Q5NHF2	UniRef50_A0A0B6CTS6	Cluster: TIGR03546 family protein	76	0.5	Francisellaceae	34064
Q5NH62	UniRef50_A0A0B6D188	Cluster: Metallopeptidase M24 family protein	70	0.5	Francisellaceae	34064
Q5NFY7	UniRef50_A0A0B6D3M3	Cluster: Type II toxin-antitoxin system HipA family toxin	24	0.5	Thiotrichales	72273
Q5NER2	UniRef50_A0A0B6D535	Cluster: Signal peptidase I	58	0.5	Gammaproteobacteria	1236
Q5NHX5	UniRef50_A0A0B6DQU7	Cluster: Phosphatidate cytidylyltransferase	53	0.5	Francisellaceae	34064
Q5NG28	UniRef50_A0A0B6DTX4	Cluster: serine-type D-Ala-D-Ala carboxypeptidase	58	0.5	Francisellaceae	34064
Q5NHL8	UniRef50_A0A0B6DYW2	Cluster: Agmatine deiminase	17	0.5	Thiotrichales	72273
Q5NFC1	UniRef50_A0A0B6E5K9	Cluster: Probable cytosol aminopeptidase	53	0.5	Thiotrichales	72273
Q5NGC7	UniRef50_A0A0B6EQY7	Cluster: DUF3573 domain-containing protein	237	0.5	Gammaproteobacteria	1236
A0A0H3LBU6	UniRef50_A0A0B8NMU9	Cluster: HNH nuclease domain-containing protein	797	0.5	root	1
Q83A33	UniRef50_A0A0C1K8A9	Cluster: Adenosine monophosphate-protein transferase FICD	161	0.5	cellular organisms	131567
A0A0H2YE71	UniRef50_A0A0C2AVZ6	Cluster: Flagellar motor switch protein FliG	565	0.5	Bacteria	2
A0A6L7H169	UniRef50_A0A0C2H8L9	Cluster: Maltose/maltodextrin transport system permease protein	1311	0.5	Bacteria	2
A0A5P8YI42	UniRef50_A0A0C5WCP1	Cluster: Glycosidase	250	0.5	root	1
A0A0H2W4R8	UniRef50_A0A0C5WQM6	Cluster: Glycosyl hydrolase	81	0.5	Gammaproteobacteria	1236
A0A6L8PL93	UniRef50_A0A0D0FL76	Cluster: PepSY domain-containing protein	1266	0.5	Bacteria	2
Q8D0R5	UniRef50_A0A0D0Q931	Cluster: Phosphomannomutase	495	0.5	root	1
A0A6L8P3I2	UniRef50_A0A0D1ISL6	Cluster: ABC transporter permease	2484	0.5	Bacteria	2
A0A1J9WX97	UniRef50_A0A0D5NLS7	Cluster: LysE family L-lysine exporter	1080	0.5	Bacteria	2
A0A0E1NUN0	UniRef50_A0A0D6BP17	Cluster: DUF4087 domain-containing protein	170	0.5	Gammaproteobacteria	1236
A0A6L8P4U4	UniRef50_A0A0D6HQE4	Cluster: 2-oxoacid ferredoxin oxidoreductase subunit alpha	3088	0.5	Bacteria	2
A0A0D8GPM3	UniRef50_A0A0D8GPM3	Cluster: Lipoprotein	20	0.5	Acinetobacter baumannii	470
Q8D0L3	UniRef50_A0A0E1NJ23	Cluster: Glutathionine S-transferase	142	0.5	Pseudomonadota	1224
A0A380PH15	UniRef50_A0A0E1NKE5	Cluster: Carbon-phosphorus lyase complex accessory protein	591	0.5	Pseudomonadota	1224
Q8CKI8	UniRef50_A0A0E1NLY6	Cluster: Autotransporter domain-containing protein	5	0.5	Yersinia pestis	632
Q8CZU0	UniRef50_A0A0E1NU65	Cluster: Carrier domain-containing protein	44	0.5	Yersinia pestis	632
Q8CKN0	UniRef50_A0A0E1NVM5	Cluster: Phage protein	27	0.5	Enterobacterales	91347
Q8D1M6	UniRef50_A0A0E1NWR9	Cluster: DUF6531 domain-containing protein	45	0.5	Yersinia pseudotuberculosis complex	1649845
Q8D1G4	UniRef50_A0A0E1NY43	Cluster: V-type ATP synthase subunit E	135	0.5	Yersiniaceae	1903411
Q5NFY4	UniRef50_A0A0E2ZHF6	Cluster: Uncharacterized protein	3	0.5	Francisella tularensis	263
Q5NES9	UniRef50_A0A0E3A662	Cluster: Nicotinate phosphoribosyltransferase	62	0.5	root	1
A0A6L8PF45	UniRef50_A0A0E4H965	Cluster: Ferrous iron transport protein B	2412	0.5	Bacteria	2
A0A6L8NXR5	UniRef50_A0A0E4HB35	Cluster: Putative ABC transporter ATP-binding protein YfmM	3174	0.5	root	1
Q8CZW0	UniRef50_A0A0E8LPW5	Cluster: D-3-phosphoglycerate dehydrogenase	80	0.5	Pseudomonadota	1224
A0A0H2YI78	UniRef50_A0A0E8XHN3	Cluster: Leucine rich repeat domain-containing protein	41	0.5	Yersinia pseudotuberculosis complex	1649845
Q8CL24	UniRef50_A0A0E8XI83	Cluster: Chorismate-binding domain-containing protein	46	0.5	Yersinia	629
A0A3N4B5W9	UniRef50_A0A0E8XLE6	Cluster: Outer membrane protein YopM	20	0.5	Yersinia pseudotuberculosis complex	1649845
A0A380PDB8	UniRef50_A0A0E8XMD7	Cluster: Sel1 domain-containing protein	127	0.5	Enterobacterales	91347
Q5NFX6	UniRef50_A0A0F2P6J6	Cluster: ATP-dependent DNA helicase Rep	33	0.5	Gammaproteobacteria	1236
Q2GJL5	UniRef50_A0A0F3PZ88	Cluster: Anaplasma Translocated Substrate 1 (Ats-1)	19	0.5	Anaplasma phagocytophilum	948
Q8X831	UniRef50_A0A0F3UH49	Cluster: T3SS effector protein NleH	537	0.5	root	1
A0A2U2GXX7	UniRef50_A0A0F6BAS6	Cluster: Polyamine export protein	3815	0.5	root	1
A0A6L8PN40	UniRef50_A0A0F7D3P9	Cluster: STAS domain-containing protein	2643	0.5	root	1
A0A3N4AZS0	UniRef50_A0A0F7H5Z4	Cluster: Antibiotic biosynthesis monooxygenase	717	0.5	Bacteria	2
Q8D1C6	UniRef50_A0A0F7HA02	Cluster: Glutathione import ATP-binding protein GsiA	3489	0.5	root	1
Q8D1K1	UniRef50_A0A0F7HAC4	Cluster: Uroporphyrin-III methyltransferase	238	0.5	Bacteria	2
A0A2U2H163	UniRef50_A0A0F7HEL8	Cluster: Hydrolase	500	0.5	Enterobacterales	91347
A0A5P8YHC4	UniRef50_A0A0F7LS39	Cluster: DUF4225 domain-containing protein	121	0.5	Enterobacterales	91347
A0A3N4B4F1	UniRef50_A0A0F7N5A0	Cluster: L-lysine N6-monooxygenase MbtG	1422	0.5	Bacteria	2
A0A0F7R9R7	UniRef50_A0A0F7R9R7	Cluster: Wall-Associated protein	1	0.5	Bacillus anthracis	1392
A0A6L8P706	UniRef50_A0A0F7RE85	Cluster: Flagellin	8	0.5	Bacillus cereus group	86661
A0A0F7REZ1	UniRef50_A0A0F7REZ1	Cluster: TPR Repeat-Containing protein	5	0.5	Bacillus cereus group	86661
A0A6L7H2S2	UniRef50_A0A0F7RFA1	Cluster: NfeD-like C-terminal domain-containing protein	450	0.5	Bacillaceae	186817
A0A5P8YHQ6	UniRef50_A0A0G3CL32	Cluster: NAD(P)-binding domain-containing protein	338	0.5	Bacteria	2
A0A6L8P0C4	UniRef50_A0A0G8BUN2	Cluster: ABC transporter domain-containing protein	517	0.5	Bacillaceae	186817
A0A6L7HQ13	UniRef50_A0A0G8BX40	Cluster: RNA polymerase factor sigma-54	577	0.5	Bacteria	2
A0A6L7GZT9	UniRef50_A0A0G8CL31	Cluster: serine-type D-Ala-D-Ala carboxypeptidase	640	0.5	Terrabacteria group	1783272
A0A6L7HR92	UniRef50_A0A0G8EWA9	Cluster: RND efflux pump membrane fusion protein barrel-sandwich domain-containing protein	1270	0.5	Bacteria	2
A0A6L8PVT4	UniRef50_A0A0G8F960	Cluster: Major facilitator superfamily (MFS) profile domain-containing protein	408	0.5	Bacteria	2
Q5NE72	UniRef50_A0A0H2VFI8	Cluster: Energy-dependent translational throttle protein EttA	6160	0.5	root	1
A0A0U1QXA9	UniRef50_A0A0H2W834	Cluster: N-acetyltransferase domain-containing protein	78	0.5	Enterobacterales	91347
A0A0H2WA16	UniRef50_A0A0H2WA16	Cluster: Type III secretion protein HrpB2	4	0.5	Burkholderia	32008
O84819	UniRef50_A0A0H2X3B8	Cluster: Candidate inclusion membrane protein	16	0.5	Chlamydia trachomatis	813
A0A0H2XDA5	UniRef50_A0A0H2XDA5	Cluster: DUF1843 domain-containing protein	21	0.5	pseudomallei group	111527
Q8CKM5	UniRef50_A0A0H2Y322	Cluster: Uncharacterized protein	6	0.5	Yersiniaceae	1903411
A0A6M0NPF9	UniRef50_A0A0H2Y4N9	Cluster: Transposase	4	0.5	Yersinia pestis	632
Q8D1L8	UniRef50_A0A0H2YAD4	Cluster: Insertion element IS1661 DNA-binding protein	29	0.5	Yersinia pseudotuberculosis complex	1649845
A0A2U2H345	UniRef50_A0A0H2ZDG9	Cluster: HTH-type transcriptional repressor PA14_22550	145	0.5	Bacteria	2
A0A5P8YJS7	UniRef50_A0A0H2ZM47	Cluster: DUF3322 and DUF2220 domain-containing protein	288	0.5	Pseudomonadota	1224
A0A5P8YLK9	UniRef50_A0A0H3AYY6	Cluster: DUF1795 domain-containing protein	15	0.5	Enterobacterales	91347
A0A3N4B521	UniRef50_A0A0H3AZF1	Cluster: Aminotransferase	171	0.5	root	1
A0A5P8YD56	UniRef50_A0A0H3B005	Cluster: DUF2345 domain-containing protein	40	0.5	Enterobacterales	91347
A0A5P8YI71	UniRef50_A0A0H3B2A0	Cluster: SMI1/KNR4 family protein	28	0.5	Yersinia pseudotuberculosis complex	1649845
Q0WE99	UniRef50_A0A0H3B2N9	Cluster: DUF2502 domain-containing protein	20	0.5	Yersinia pseudotuberculosis complex	1649845
A0A380PF67	UniRef50_A0A0H3B309	Cluster: N-acetylglucosamine-binding protein A	54	0.5	Yersinia pseudotuberculosis complex	1649845
Q7CJD3	UniRef50_A0A0H3B3H7	Cluster: Fimbrial-type adhesion domain-containing protein	68	0.5	Yersiniaceae	1903411
A0A0E1NXT9	UniRef50_A0A0H3B490	Cluster: Bacterial toxin 44 domain-containing protein	87	0.5	Enterobacterales	91347
A0A380PE22	UniRef50_A0A0H3B5C7	Cluster: DUF4401 domain-containing protein	84	0.5	Enterobacterales	91347
Q8CL50	UniRef50_A0A0H3B604	Cluster: Phage protein	57	0.5	Yersinia	629
A0A380PGD9	UniRef50_A0A0H3B642	Cluster: Monosaccharide-transporting ATPase	508	0.5	Gammaproteobacteria	1236
A0A0H2W203	UniRef50_A0A0H3B6B1	Cluster: Acyltransferase	118	0.5	Yersiniaceae	1903411
Q0WJG3	UniRef50_A0A0H3B6E4	Cluster: Type VI secretion system effector, Hcp1 family	134	0.5	Bacteria	2
A0A2U2GZE2	UniRef50_A0A0H3FXK1	Cluster: Phage head morphogenesis domain-containing protein	2021	0.5	root	1
A0A380SAH1	UniRef50_A0A0H3GV32	Cluster: Type VI secretion system baseplate subunit TssG	1895	0.5	cellular organisms	131567
Q8CLD1	UniRef50_A0A0H3HCY1	Cluster: DUF2207 domain-containing protein	487	0.5	Enterobacterales	91347
Q8CLP4	UniRef50_A0A0H3HG45	Cluster: Alginate lyase domain-containing protein	433	0.5	Bacteria	2
A0A3N4AXG1	UniRef50_A0A0H3IZZ5	Cluster: Formate dehydrogenase H	574	0.5	root	1
A0A6L7HLZ2	UniRef50_A0A0H3J6F4	Cluster: Bifunctional protein TrpGD	612	0.5	root	1
A0A5P8YDR0	UniRef50_A0A0H3KL54	Cluster: Ureidoglycolate lyase	993	0.5	root	1
A0A5P8YI70	UniRef50_A0A0H3KY03	Cluster: DNA polymerase III subunit delta	1996	0.5	Bacteria	2
O53850	UniRef50_A0A0H3MB86	Cluster: D-alanyl-D-alanine dipeptidase	178	0.5	Actinomycetes	1760
P0CI27	UniRef50_A0A0H3MD02	Cluster: Inclusion membrane protein A	35	0.5	Chlamydia	810
P0DPS6	UniRef50_A0A0H3MGR4	Cluster: Inclusion membrane protein G	16	0.5	Chlamydia trachomatis	813
A0A0H3LEU4	UniRef50_A0A0H3N0R2	Cluster: Transcriptional regulator, LytR family protein	656	0.5	Bacteria	2
A0A3N4B003	UniRef50_A0A0H5FHC8	Cluster: Coproporphyrinogen III oxidase	455	0.5	Bacteria	2
A0A2S9PF57	UniRef50_A0A0H6Y310	Cluster: Sulfate transport system permease protein CysT	839	0.5	Bacteria	2
Q8D0R9	UniRef50_A0A0J1LX81	Cluster: Betaine/carnitine/choline transporter (BCCT) family transporter	1007	0.5	cellular organisms	131567
O68742	UniRef50_A0A0J5FRN9	Cluster: DNA-binding protein	284	0.5	root	1
O68743	UniRef50_A0A0J5FSR5	Cluster: MarR family transcriptional regulator	158	0.5	root	1
A0A6H3A871	UniRef50_A0A0J6CIE7	Cluster: SpoVT-AbrB domain-containing protein	297	0.5	Bacteria	2
A0A348A6M1	UniRef50_A0A0J7G9Z3	Cluster: Cell wall anchor protein	1264	0.5	Bacillaceae	186817
A0A0E1NN95	UniRef50_A0A0J8YAW3	Cluster: LacI family transcriptional regulator	53	0.5	Enterobacterales	91347
Q5NIB3	UniRef50_A0A0J9WZF0	Cluster: DNA topoisomerase 4 subunit B	329	0.5	root	1
A0A2U2GXV0	UniRef50_A0A0K0H864	Cluster: ATPase involved in DNA repair	1581	0.5	Bacteria	2
Q8D1J7	UniRef50_A0A0K0HNN7	Cluster: EamA family transporter RarD	531	0.5	Gammaproteobacteria	1236
Q5NHE8	UniRef50_A0A0K2JQM4	Cluster: Gamma-glutamylcyclotransferase	49	0.5	Francisellaceae	34064
A0A6H3AII8	UniRef50_A0A0K6LW69	Cluster: Transcription initiation factor TFIIIB	23	0.5	Bacillus	1386
A0A6H3AP68	UniRef50_A0A0M0L8K8	Cluster: Peptidase M23	443	0.5	Bacteria	2
A0A3Q0PQN7	UniRef50_A0A0M0LHG7	Cluster: glucose 1-dehydrogenase [NAD(P)(+)]	1514	0.5	root	1
Q8VSD5	UniRef50_A0A0M1UIS8	Cluster: Type III secretion system effector OspI	51	0.5	Enterobacteriaceae	543
A0A6H3AK00	UniRef50_A0A0M2SZH7	Cluster: Acetoin utilization protein AcuC	698	0.5	Bacteria	2
A0A6L7HME0	UniRef50_A0A0M9FN87	Cluster: ABC transporter ATP-binding protein	5276	0.5	root	1
A0A0H2W1Q5	UniRef50_A0A0P0LXG5	Cluster: Fibronectin type-III domain-containing protein	442	0.5	root	1
A0A2S9PE74	UniRef50_A0A0P0QDZ2	Cluster: ABC transporter substrate-binding protein	150	0.5	Enterobacterales	91347
A0A6L7H8R9	UniRef50_A0A0P8W2Z7	Cluster: Sporulation initiation inhibitor protein Soj	2360	0.5	root	1
A0A6L7H060	UniRef50_A0A0Q1AZ95	Cluster: Putative aromatic acid exporter C-terminal domain-containing protein	304	0.5	Bacilli	91061
A0A2U2H085	UniRef50_A0A0Q4MRZ7	Cluster: Type VI secretion protein	36	0.5	Pseudomonadota	1224
A0A454XSV9	UniRef50_A0A0Q4N3Y7	Cluster: AsmA domain-containing protein	221	0.5	Enterobacterales	91347
A0A2U2H2G1	UniRef50_A0A0R2Z0N0	Cluster: TonB-dependent copper receptor	4824	0.5	root	1
A0A384KLA5	UniRef50_A0A0S2S8L4	Cluster: Major facilitator superfamily (MFS) profile domain-containing protein	2075	0.5	Bacteria	2
A0A0S2Z342	UniRef50_A0A0S2Z342	Cluster: Mucin-binding protein (Fragment)	3	0.5	Lactiplantibacillus plantarum	1590
A0A2U2H4G1	UniRef50_A0A0T7RVD9	Cluster: Regulatory protein	793	0.5	Bacteria	2
A0A3N4BGA7	UniRef50_A0A0T9JAE4	Cluster: Short chain dehydrogenase	1004	0.5	Bacteria	2
A0A3N4B8A2	UniRef50_A0A0T9LMN8	Cluster: Putative sugar ABC transporter ATP-binding protein	831	0.5	cellular organisms	131567
A0A2U2GZF4	UniRef50_A0A0T9LQC1	Cluster: Putative TonB dependent receptor protein	307	0.5	Gammaproteobacteria	1236
Q8D131	UniRef50_A0A0T9LUU1	Cluster: Myo-inositol 2-dehydrogenase 2	1992	0.5	Bacteria	2
Q8D0C5	UniRef50_A0A0T9LXV8	Cluster: Fimbrial	80	0.5	Pseudomonadota	1224
Q0WJ73	UniRef50_A0A0T9MU27	Cluster: Protein phosphatase 2C domain-containing protein	146	0.5	Enterobacterales	91347
A0A380PKF7	UniRef50_A0A0T9NFW3	Cluster: Sensory box-containing diguanylate cyclase	208	0.5	Yersiniaceae	1903411
A0A3N4BBN7	UniRef50_A0A0T9NTC7	Cluster: Putative cation-transporting P-type ATPase	206	0.5	Bacteria	2
Q8D0A6	UniRef50_A0A0T9NV34	Cluster: Ribose ABC transporter ATP binding protein	834	0.5	Bacteria	2
A0A3N4BS13	UniRef50_A0A0T9NZC5	Cluster: Putative short chain dehydrogenase	61	0.5	Pseudomonadota	1224
Q8D064	UniRef50_A0A0T9NZG4	Cluster: 3-ketoacyl-ACP reductase	37	0.5	cellular organisms	131567
A0A0E1NPF2	UniRef50_A0A0T9P019	Cluster: histidine kinase	315	0.5	Bacteria	2
Q8D062	UniRef50_A0A0T9PCE6	Cluster: Oxidoreductase	44	0.5	Yersiniaceae	1903411
A0A0H2W6R0	UniRef50_A0A0T9PM69	Cluster: Multidrug resistance protein MdtN	180	0.5	Bacteria	2
A0A3N4AYQ1	UniRef50_A0A0T9PQK5	Cluster: Putative oxidoreductase	356	0.5	Pseudomonadota	1224
Q8D1P6	UniRef50_A0A0T9Q8B2	Cluster: Insecticidal toxin complex protein	57	0.5	Yersinia	629
A0A3N4B2U6	UniRef50_A0A0T9QH82	Cluster: Putative beta-glucosidase	98	0.5	Bacteria	2
